Id,SalePrice
49,131980.77822665768
125,100173.70489631365
875,316530.55155414937
132,146455.97165084546
512,114920.96400271932
281,212469.2849269164
718,311589.54189470987
123,158780.72998265136
241,103437.6657612168
1294,119600.31160814238
1335,165189.43013478353
293,223593.53222029566
1426,252383.8372060037
467,165262.28616964785
1181,302322.8231580235
500,106801.57914263906
403,245791.36922910434
666,193042.86181149606
1411,157117.75325132787
627,151441.1583763348
200,139861.06915163482
303,135812.46228527726
350,283047.4246238019
1345,93268.65870495324
862,147802.1224262063
465,176950.96550881368
1112,125052.73829530805
542,196104.35775341696
36,161998.23329558107
652,190598.41493580214
279,223575.186216413
776,226137.54416068256
806,131883.21994565442
856,144665.17951500806
24,158358.42763491973
788,102920.2654589784
1353,435271.72649331094
1436,110728.02549847464
1392,111302.51728199063
138,249102.90263311015
321,330596.6480123926
1145,130599.16772888736
599,146657.93269868603
1192,127756.92823810922
382,197037.81411069573
182,125095.57286208784
920,196445.69036633495
1098,114722.40931090213
435,232829.61327155988
1071,147415.2982834152
844,145424.41130248443
198,119045.61064405726
1178,128747.99073567672
262,155423.1950838871
741,129505.21484769888
1227,156224.66323441785
934,262321.40430439136
1347,280591.26664626866
801,116933.60515147542
1039,78841.31997851012
843,115149.84483172835
762,210570.76290881896
445,144234.93167050063
1030,124831.82918993013
1275,140437.2884049189
331,129122.67887066171
1144,93954.7114037188
526,136591.8867534861
1161,223723.34630038132
1219,93756.4066689232
15,137933.54193288632
880,154589.49951135146
469,172348.2736335532
941,199942.4419922778
422,118508.34219455073
1203,197943.02189211277
247,133864.66040191456
399,222601.35315664439
161,393956.5210871939
1384,108638.28019705026
569,150940.4399521355
557,112826.27092971442
597,186955.53567004725
159,293008.4936998034
989,199997.68319616123
1138,197159.06841221344
1107,221808.52429394092
78,116832.01348740773
204,103327.71096183943
853,182225.16895359143
726,272149.3640814203
1173,220302.86508022549
1059,197011.29484697813
1160,138381.52721091686
585,339337.33674129966
693,99462.28231890878
689,195927.0876664867
1429,199220.70561938372
1246,197731.726696804
1131,120117.8571054171
1143,91384.53338789943
1380,64748.89482125201
815,199986.2438996477
739,189166.3695411329
1446,154097.80652819082
362,184457.87379295926
879,145567.9758712531
406,115455.80224746198
474,250309.49314108613
804,106817.54882985189
714,178100.10905298748
260,171547.71776446028
1146,176814.44401763592
1029,115037.95221237451
495,76575.29264112587
1360,197340.80163703448
433,180185.59143852445
206,133686.7420838095
140,97167.32313589173
164,138777.70438462985
437,118466.94330575067
315,186440.64779263313
805,205823.53068368463
65,287199.3074667839
1239,225221.10493501526
1110,185840.92544886688
630,100911.44123186551
253,183875.38609349306
1346,277635.9822165547
63,128578.39542480209
600,281777.4885973803
203,142404.54875768433
1162,126959.9563755065
1365,215144.81823053773
1001,84588.67870437626
126,144332.2148221126
968,74946.40580490495
1272,135402.3127138841
4,283606.65739991143
265,187637.02750037157
649,77970.94429521555
1202,135468.02320670616
1307,144883.99281211593
507,190273.70942249012
449,127259.56779643678
883,114277.4073971364
1031,194710.37801955853
1099,162436.8942680473
291,115533.9683260282
657,173411.22323784218
56,203031.07965353227
378,342762.53639829566
497,154992.99402777114
1385,124831.80306107618
952,143107.15819185154
1325,68728.46513184553
858,153416.75058593176
1410,210140.72549238798
81,172410.5965741911
1319,106349.82782235314
1232,92133.66597372487
1362,122851.51696872647
1164,197673.50585987014
578,152771.0188801784
572,199649.02597439662
534,186101.72672069704
759,281139.06426125485
35,304211.8399010755
45,286444.0664507678
1364,150133.76371488336
21,111955.10725405706
1124,163923.75121287696
1090,90905.19056773266
1016,231479.302220387
1322,216219.0173554818
675,140311.0566629347
987,389644.94662438723
